Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
2.55859	4.12206	5.22372	5.740180436457	6.924105	26.4989	779	fold	SPT5_T0_R1
1.31571	3.07073	4.94477	6.70649227214377	8.24328	239.459	779	-log10(qvalue)	SPT5_T0_R1
2.91421	5.05863	7.23605	9.12803224646983	11.0009	244.987	779	-log10(pvalue)	SPT5_T0_R1
164	231	334	404.359435173299	501.5	2052	779	length	SPT5_T0_R1
2.46181	4.07305	5.29497	5.73340946704067	7.05926	13.2222	713	fold	SPT5_T15_R1
1.31352	3.50001	5.83852	7.23730312762973	9.52283	254.096	713	-log10(qvalue)	SPT5_T15_R1
2.88861	5.5018	8.16816	9.71832479663394	12.3771	260.48	713	-log10(pvalue)	SPT5_T15_R1
192	263	365	433.259467040673	526	2341	713	length	SPT5_T15_R1
2.67716	4.1083475	5.2184	6.11465125	7.05491	26.6864	568	fold	SPT5_T0_R2
1.32211	2.99815	4.90913	8.64307436619718	8.68954	882.292	568	-log10(qvalue)	SPT5_T0_R2
2.96788	5.04767	7.22169	11.0780327992958	11.3784	889.376	568	-log10(pvalue)	SPT5_T0_R2
197	286.5	406.5	501.864436619718	621.5	2133	568	length	SPT5_T0_R2
2.56495	4.13205	5.17613	5.48093314766839	6.57457	11.6398	772	fold	SPT5_T15_R2
1.34633	3.3046975	5.02375	6.26763861398964	7.90023	295.496	772	-log10(qvalue)	SPT5_T15_R2
2.93257	5.368445	7.41575	8.7766317746114	10.7961	302.58	772	-log10(pvalue)	SPT5_T15_R2
174	240.5	340	412.088082901554	511.75	2247	772	length	SPT5_T15_R2
