task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	40/df86eb	2982	OUTPUT_DOCUMENTATION	COMPLETED	0	2021-01-30 02:31:24.021	1m 8s	238ms	92.0%	14.8 MB	19.9 MB	3.2 MB	1.2 MB
1	cb/d9167d	3463	INPUT_CHECK:SAMPLESHEET_CHECK (design.csv)	COMPLETED	0	2021-01-30 02:32:31.781	681ms	42ms	72.7%	12.7 MB	18.1 MB	757.5 KB	2.1 KB
5	52/02491c	3707	GTF2BED (genes.gtf)	COMPLETED	0	2021-01-30 02:32:32.466	1.5s	450ms	77.4%	12.3 MB	16.2 MB	11.7 MB	391.4 KB
2	cd/f1e292	4028	GET_CHROM_SIZES (genome.fa)	COMPLETED	0	2021-01-30 02:32:34.089	1.6s	107ms	69.6%	11.5 MB	26.3 MB	12 MB	919 B
3	c7/9044e3	4293	BWA_INDEX (genome.fa)	COMPLETED	0	2021-01-30 02:32:35.732	8.4s	7.7s	97.2%	58 MB	60.9 MB	46.9 MB	31.9 MB
6	50/86bc7b	4911	FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_R1_T1)	COMPLETED	0	2021-01-30 02:32:44.111	6.4s	5.5s	164.4%	367.4 MB	11.3 GB	20 MB	3.2 MB
8	5f/b22570	5404	JO_CHECKSUMS (null)	COMPLETED	0	2021-01-30 02:32:50.534	1.5s	337ms	100.0%	4.4 MB	7.2 MB	43.5 MB	35.5 MB
7	7c/45c26d	5661	FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_R1_T1)	COMPLETED	0	2021-01-30 02:32:52.042	13.8s	13s	155.5%	199.3 MB	11.1 GB	212.7 MB	177.6 MB
9	25/844886	7251	FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_R2_T1)	COMPLETED	0	2021-01-30 02:33:05.846	5.3s	4.5s	149.0%	384.6 MB	11.3 GB	20 MB	3.2 MB
10	45/c886ce	7720	FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_R2_T1)	COMPLETED	0	2021-01-30 02:33:11.194	13.1s	12.4s	146.7%	212.5 MB	11.1 GB	212.5 MB	177.5 MB
11	af/ad4e30	9309	JO_CHECKSUMS (null)	COMPLETED	0	2021-01-30 02:33:24.336	1.5s	318ms	100.0%	4.3 MB	7.2 MB	43.5 MB	35.5 MB
12	16/36193e	9575	JO_CHECKSUMS (null)	COMPLETED	0	2021-01-30 02:33:25.881	1.6s	374ms	100.0%	4.4 MB	7.2 MB	51.7 MB	41.6 MB
13	35/5e7096	9827	FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_R1_T1)	COMPLETED	0	2021-01-30 02:33:27.468	16.7s	16s	145.6%	213.4 MB	11.1 GB	235.9 MB	198.1 MB
14	d5/50b80b	11549	FASTQC_TRIMGALORE:FASTQC (SPT5_T0_R1_T1)	COMPLETED	0	2021-01-30 02:33:44.181	7.3s	6.5s	162.6%	391.3 MB	11.3 GB	22.5 MB	4 MB
17	87/96838e	12124	JO_CHECKSUMS (null)	COMPLETED	0	2021-01-30 02:33:51.470	1.6s	396ms	97.5%	4.4 MB	7.2 MB	51.8 MB	41.6 MB
16	fc/8fec0d	12371	FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_R2_T1)	COMPLETED	0	2021-01-30 02:33:53.105	15.7s	14.9s	148.8%	188.9 MB	11.1 GB	237.7 MB	199.9 MB
15	ae/54a252	14091	FASTQC_TRIMGALORE:FASTQC (SPT5_T0_R2_T1)	COMPLETED	0	2021-01-30 02:34:08.793	8.3s	7.5s	181.4%	377.9 MB	11.3 GB	22.4 MB	4 MB
20	5e/d260ef	14723	FASTQC_TRIMGALORE:FASTQC (SPT5_T15_R1_T1)	COMPLETED	0	2021-01-30 02:34:17.120	6.1s	5.5s	156.8%	372.8 MB	11.3 GB	22.6 MB	4 MB
