"","CHR","START","END","SPT5_T0_R2","SPT5_T0_R1","SPT5_T15_R1","SPT5_T15_R2"
"1","I",-24,376,72.2906320808157,67.5070472301833,14.2691219305743,14.8840197156707
"2","I",20745,21145,7.60954021903323,13.712368968631,13.3773018099134,12.2574280011406
"3","I",45251,45651,26.6333907666163,16.8767618075458,17.8364024132179,22.7637948592611
"4","I",68162,68562,39.3159577983384,51.6850830356091,31.2137042231314,35.0212228604016
"5","I",71068,71468,41.8524712046828,30.5891307761768,16.944582292557,21.012733716241
"6","I",138984,139384,11.4143103285498,13.712368968631,8.02638108594807,10.5063668581205
"7","I",141567,141967,24.0968773602719,28.4795355502336,14.2691219305743,14.0084891441607
"8","I",143488,143888,10.1460536253776,12.6575713556594,8.02638108594807,0.875530571510041
"9","I",166151,166551,24.0968773602719,12.6575713556594,9.81002132726986,3.50212228604016
"10","I",181013,181413,17.7555938444109,30.5891307761768,12.4854816892526,11.3818974296305
"11","I",190104,190504,44.3889846110272,29.5343331632052,29.4300639818096,25.3903865737912
"12","I",210851,211251,10.1460536253776,10.5479761297161,4.45910060330448,13.1329585726506
"13","I",229872,230272,48.1937547205438,35.8631188410349,6.24274084462628,12.2574280011406
"14","II",5730,6130,35.5111876888217,48.5206901966943,14.2691219305743,15.7595502871807
"15","II",28530,28930,7.60954021903323,8.43838090377292,9.81002132726986,11.3818974296305
"16","II",36328,36728,20.2921072507553,26.3699403242904,16.944582292557,13.1329585726506
"17","II",45161,45561,29.1699041729607,36.9179164540065,20.5118627752006,14.0084891441607
"18","II",60788,61188,17.7555938444109,16.8767618075458,8.02638108594807,18.3861420017109
"19","II",89435,89835,31.7064175793051,29.5343331632052,14.2691219305743,14.8840197156707
"20","II",116841,117241,16.4873371412387,15.8219641945742,13.3773018099134,15.7595502871807
"21","II",135883,136283,38.0477010951662,34.8083212280633,24.9709633785051,28.0169782883213
"22","II",140568,140968,24.0968773602719,24.2603450983471,22.2955030165224,28.0169782883213
"23","II",159760,160160,13.9508237348943,21.0959522594323,23.1873231371833,22.7637948592611
"24","II",164082,164482,19.0238505475831,17.9315594205175,19.6200426545397,17.5106114302008
"25","II",165047,165447,39.3159577983384,55.9042734874956,38.3482651884185,30.6435700028514
"26","II",168012,168412,30.4381608761329,41.137106905893,26.7546036198269,32.3946311458715
"27","II",193540,193940,19.0238505475831,20.0411546464607,29.4300639818096,23.6393254307711
"28","II",202613,203013,13.9508237348943,5.27398806485807,14.2691219305743,3.50212228604016
"29","II",235956,236356,13.9508237348943,10.5479761297161,6.24274084462628,7.00424457208033
"30","II",251220,251620,17.7555938444109,15.8219641945742,14.2691219305743,11.3818974296305
"31","II",255917,256317,12.6825670317221,25.3151427113188,8.02638108594807,12.2574280011406
"32","II",332394,332794,12.6825670317221,14.7671665816026,9.81002132726986,13.1329585726506
"33","II",341556,341956,12.6825670317221,20.0411546464607,16.0527621718961,14.0084891441607
"34","II",356506,356906,8.87779692220544,5.27398806485807,12.4854816892526,7.87977514359037
"35","II",370965,371365,12.6825670317221,12.6575713556594,22.2955030165224,21.888264287751
"36","II",375860,376260,13.9508237348943,22.1507498724039,36.5646249470968,28.8925088598314
"37","II",378714,379114,21.5603639539275,28.4795355502336,25.862783499166,23.6393254307711
"38","II",392361,392761,24.0968773602719,20.0411546464607,28.5382438611487,21.012733716241
"39","II",405876,406276,11.4143103285498,9.49317851674453,8.91820120660896,15.7595502871807
"40","II",408566,408966,13.9508237348943,25.3151427113188,29.4300639818096,24.5148560022811
"41","II",415307,415707,24.0968773602719,22.1507498724039,30.3218841024705,20.1372031447309
"42","II",419512,419912,6.34128351586103,3.16439283891484,24.0791432578442,25.3903865737912
"43","II",426752,427152,15.2190804380665,29.5343331632052,26.7546036198269,28.8925088598314
"44","II",452117,452517,17.7555938444109,14.7671665816026,16.0527621718961,12.2574280011406
"45","II",466204,466604,19.0238505475831,25.3151427113188,33.8891645851141,29.7680394313414
"46","II",477025,477425,21.5603639539275,29.5343331632052,20.5118627752006,19.2616725732209
"47","II",490554,490954,8.87779692220544,20.0411546464607,28.5382438611487,40.2744062894619
"48","II",504415,504815,8.87779692220544,14.7671665816026,11.5936615685917,14.0084891441607
"49","II",555374,555774,35.5111876888217,21.0959522594323,22.2955030165224,15.7595502871807
"50","II",564838,565238,16.4873371412387,15.8219641945742,13.3773018099134,12.2574280011406
"51","II",589188,589588,10.1460536253776,9.49317851674453,9.81002132726986,13.1329585726506
"52","II",595579,595979,8.87779692220544,17.9315594205175,23.1873231371833,33.2701617173816
"53","II",605804,606204,16.4873371412387,22.1507498724039,27.6464237404878,15.7595502871807
"54","II",614068,614468,16.4873371412387,25.3151427113188,26.7546036198269,21.012733716241
"55","II",624902,625302,25.3651340634441,25.3151427113188,18.7282225338788,28.8925088598314
"56","II",628481,628881,13.9508237348943,12.6575713556594,19.6200426545397,27.1414477168113
"57","II",642633,643033,10.1460536253776,15.8219641945742,15.1609420512352,8.75530571510041
"58","II",680161,680561,16.4873371412387,16.8767618075458,23.1873231371833,20.1372031447309
"59","II",697440,697840,22.8286206570997,17.9315594205175,16.944582292557,13.1329585726506
"60","II",770561,770961,15.2190804380665,9.49317851674453,16.944582292557,18.3861420017109
"61","III",271,671,65.9493485649547,42.1919045188646,24.0791432578442,14.8840197156707
"62","III",48239,48639,6.34128351586103,8.43838090377292,5.35092072396538,9.63083628661045
"63","III",50375,50775,26.6333907666163,21.0959522594323,27.6464237404878,24.5148560022811
"64","III",68447,68847,25.3651340634441,26.3699403242904,8.91820120660896,6.12871400057029
"65","III",78179,78579,26.6333907666163,32.6987260021201,36.5646249470968,28.8925088598314
"66","III",123107,123507,20.2921072507553,11.6027737426878,6.24274084462628,16.6350808586908
"67","III",127651,128051,15.2190804380665,9.49317851674453,7.13456096528717,9.63083628661045
"68","III",137153,137553,39.3159577983384,41.137106905893,33.8891645851141,32.3946311458715
"69","III",163497,163897,29.1699041729607,22.1507498724039,15.1609420512352,21.888264287751
"70","III",178221,178621,27.9016474697885,22.1507498724039,10.7018414479308,16.6350808586908
"71","III",225165,225565,16.4873371412387,9.49317851674453,10.7018414479308,11.3818974296305
"72","III",227717,228117,7.60954021903323,17.9315594205175,8.02638108594807,14.8840197156707
"73","III",228533,228933,20.2921072507553,24.2603450983471,10.7018414479308,17.5106114302008
"74","III",236380,236780,16.4873371412387,13.712368968631,12.4854816892526,12.2574280011406
"75","III",246583,246983,11.4143103285498,12.6575713556594,12.4854816892526,7.87977514359037
"76","III",316121,316521,46.9254980173716,33.7535236150917,16.0527621718961,13.1329585726506
"77","IV",16,416,36.779444391994,22.1507498724039,11.5936615685917,9.63083628661045
"78","IV",20062,20462,11.4143103285498,17.9315594205175,13.3773018099134,2.62659171453012
"79","IV",62156,62556,6.34128351586103,8.43838090377292,42.807365791723,27.1414477168113
"80","IV",76793,77193,6.34128351586103,11.6027737426878,23.1873231371833,24.5148560022811
"81","IV",130511,130911,20.2921072507553,14.7671665816026,12.4854816892526,16.6350808586908
"82","IV",132747,133147,15.2190804380665,17.9315594205175,24.9709633785051,22.7637948592611
"83","IV",215692,216092,25.3651340634441,23.2055474853755,8.91820120660896,9.63083628661045
"84","IV",217180,217580,17.7555938444109,13.712368968631,14.2691219305743,20.1372031447309
"85","IV",221844,222244,19.0238505475831,11.6027737426878,10.7018414479308,14.0084891441607
"86","IV",234133,234533,11.4143103285498,16.8767618075458,17.8364024132179,17.5106114302008
"87","IV",239800,240200,11.4143103285498,13.712368968631,19.6200426545397,22.7637948592611
"88","IV",302707,303107,7.60954021903323,5.27398806485807,14.2691219305743,13.1329585726506
"89","IV",307804,308204,38.0477010951662,28.4795355502336,18.7282225338788,26.2659171453012
"90","IV",321783,322183,25.3651340634441,31.6439283891484,29.4300639818096,19.2616725732209
"91","IV",330544,330944,21.5603639539275,18.9863570334891,23.1873231371833,20.1372031447309
"92","IV",357126,357526,29.1699041729607,23.2055474853755,13.3773018099134,16.6350808586908
"93","IV",366122,366522,12.6825670317221,10.5479761297161,13.3773018099134,14.0084891441607
"94","IV",368920,369320,26.6333907666163,26.3699403242904,24.0791432578442,14.8840197156707
