# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "SPT5.consensus_peaks.saf" "-o" "SPT5_T0_R2.featureCounts.txt" "SPT5_T0_R2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SPT5_T0_R2.mLb.clN.sorted.bam
Interval_1	I	33	709	+	677	71
Interval_2	I	9532	9765	+	234	0
Interval_3	I	20761	21069	+	309	6
Interval_4	I	29801	29980	+	180	3
Interval_5	I	32506	32827	+	322	7
Interval_6	I	32944	33285	+	342	14
Interval_7	I	34294	34814	+	521	10
Interval_8	I	45336	45821	+	486	24
Interval_9	I	67995	68967	+	973	41
Interval_10	I	69739	70118	+	380	4
Interval_11	I	70953	71593	+	641	38
Interval_12	I	72423	73210	+	788	26
Interval_13	I	76010	76268	+	259	2
Interval_14	I	138567	139304	+	738	11
Interval_15	I	141547	142429	+	883	24
Interval_16	I	143455	143827	+	373	9
Interval_17	I	165808	166473	+	666	18
Interval_18	I	180942	181463	+	522	14
Interval_19	I	182297	182504	+	208	5
Interval_20	I	190006	190753	+	748	43
Interval_21	I	210937	211168	+	232	7
Interval_22	I	229417	230188	+	772	58
Interval_23	II	66	353	+	288	11
Interval_24	II	5639	6374	+	736	33
Interval_25	II	8286	8492	+	207	0
Interval_26	II	28403	28960	+	558	6
Interval_27	II	36132	36646	+	515	14
Interval_28	II	45005	45659	+	655	25
Interval_29	II	47052	47459	+	408	14
Interval_30	II	60843	61149	+	307	14
Interval_31	II	89290	89858	+	569	26
Interval_32	II	101251	101823	+	573	9
Interval_33	II	107529	107778	+	250	1
Interval_34	II	116607	117245	+	639	13
Interval_35	II	131935	132168	+	234	0
Interval_36	II	135745	136292	+	548	33
Interval_37	II	140406	141186	+	781	26
Interval_38	II	159769	160068	+	300	9
Interval_39	II	164125	164600	+	476	16
Interval_40	II	164936	165704	+	769	36
Interval_41	II	167919	168346	+	428	27
Interval_42	II	171371	171543	+	173	0
Interval_43	II	193560	194041	+	482	15
Interval_44	II	197274	197559	+	286	1
Interval_45	II	201941	203582	+	1642	35
Interval_46	II	221347	221558	+	212	8
Interval_47	II	227170	227445	+	276	7
Interval_48	II	235941	236587	+	647	13
Interval_49	II	251106	251570	+	465	14
Interval_50	II	255834	256429	+	596	13
Interval_51	II	266295	266668	+	374	1
Interval_52	II	269706	270138	+	433	4
Interval_53	II	281016	281255	+	240	1
Interval_54	II	288225	288537	+	313	1
Interval_55	II	292033	292309	+	277	2
Interval_56	II	332491	332717	+	227	8
Interval_57	II	340638	340869	+	232	2
Interval_58	II	341572	342431	+	860	16
Interval_59	II	347392	347728	+	337	6
Interval_60	II	350849	351071	+	223	5
Interval_61	II	356311	356760	+	450	8
Interval_62	II	370907	371755	+	849	13
Interval_63	II	373335	373619	+	285	4
Interval_64	II	373658	374070	+	413	11
Interval_65	II	374268	374619	+	352	7
Interval_66	II	375452	376314	+	863	12
Interval_67	II	378654	379231	+	578	17
Interval_68	II	392039	392727	+	689	20
Interval_69	II	405786	406352	+	567	11
Interval_70	II	408362	408951	+	590	12
Interval_71	II	415315	415735	+	421	19
Interval_72	II	419308	420022	+	715	5
Interval_73	II	426620	427098	+	479	12
Interval_74	II	452207	452623	+	417	12
Interval_75	II	454739	454928	+	190	1
Interval_76	II	458461	458742	+	282	5
Interval_77	II	466059	467131	+	1073	19
Interval_78	II	474215	474466	+	252	5
Interval_79	II	476560	476892	+	333	5
Interval_80	II	477121	477602	+	482	20
Interval_81	II	483526	483832	+	307	8
Interval_82	II	490147	491124	+	978	10
Interval_83	II	504534	504766	+	233	6
Interval_84	II	539881	540085	+	205	5
Interval_85	II	544578	544832	+	255	3
Interval_86	II	554618	556182	+	1565	52
Interval_87	II	560925	561164	+	240	5
Interval_88	II	561322	561554	+	233	1
Interval_89	II	564885	565190	+	306	12
Interval_90	II	589243	589545	+	303	8
Interval_91	II	592895	593094	+	200	12
Interval_92	II	595599	596000	+	402	7
Interval_93	II	604201	604385	+	185	7
Interval_94	II	605887	606222	+	336	13
Interval_95	II	614116	615289	+	1174	26
Interval_96	II	624768	625658	+	891	28
Interval_97	II	628533	628822	+	290	11
Interval_98	II	633493	633855	+	363	1
Interval_99	II	642682	643058	+	377	8
