# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T0_R2_Tagdir
#
# total peaks = 422
# peak size = 79
# peaks found using tags on both strands
# minimum distance between peaks = 158
# fragment length = 78
# genome size = 12131786
# Total tags = 42414.5
# Total tags in peaks = 4384.5
# Approximate IP efficiency = 10.34%
# tags per bp = 0.003419
# expected tags per peak = 0.270
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 4.281945e-07
# FDR tag threshold = 6.0
# number of putative peaks = 501
#
# input tag directory = SPT5_T0_R2_controlTagdir
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 47
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 32
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T0_R2_Tagdir -style factor -i SPT5_T0_R2_controlTagdir -o SPT5_T0_R2_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
XII-1	XII	460288	460366	+	76506.9	0.507	220.500000	325.0	18.6	17.50	3.05e-273	16.16	1.22e-254	0.37
XII-2	XII	460515	460593	+	75563.8	0.658	206.000000	322.0	15.4	20.97	9.61e-295	16.39	1.07e-259	0.38
XII-3	XII	459903	459981	+	46210.6	0.605	173.500000	197.0	13.6	14.46	3.59e-151	9.51	2.20e-116	0.44
IX-1	IX	439642	439720	+	6483.6	0.684	27.000000	29.0	0.5	58.55	9.77e-41	55.26	3.67e-37	0.90
IX-2	IX	1	67	+	6130.0	0.927	24.500000	26.0	0.2	104.98	3.36e-43	1088.38	1.65e-69	0.91
VIII-1	VIII	27	105	+	5186.9	0.721	22.000000	22.0	0.5	44.42	1.05e-28	110.20	2.00e-35	0.86
I-1	I	230055	230133	+	4715.4	0.759	20.000000	20.0	0.2	80.76	2.42e-31	59.65	2.17e-27	0.89
XI-1	XI	666475	666553	+	4597.5	0.659	20.000000	19.5	0.5	39.37	7.99e-24	30.05	1.16e-21	0.87
XII-4	XII	5656	5734	+	4597.5	0.667	20.500000	19.5	0.2	78.74	1.95e-29	90.70	1.37e-30	0.87
XV-1	XV	130	208	+	4479.6	0.636	19.000000	19.0	0.5	38.36	7.99e-24	38.80	6.47e-24	0.89
VII-1	VII	16	94	+	4361.7	0.695	18.000000	19.0	0.7	25.57	1.38e-20	63.65	2.56e-26	0.93
VIII-2	VIII	556911	556989	+	4361.7	0.742	20.000000	18.5	0.7	24.90	3.54e-19	40.06	9.00e-23	0.88
VI-2	VI	221756	221834	+	4243.8	0.755	17.500000	18.0	0.2	72.68	1.50e-27	12.06	5.18e-14	0.93
VI-1	VI	4925	5003	+	4125.9	0.700	19.000000	18.0	0.2	72.68	1.50e-27	25.12	3.01e-18	0.88
VII-2	VII	1084205	1084283	+	4125.9	0.594	17.500000	17.5	0.5	35.33	1.11e-20	37.79	2.27e-21	0.90
V-2	V	396514	396592	+	4008.1	0.712	17.000000	17.0	0.2	68.64	1.09e-25	55.45	3.86e-24	0.90
VI-3	VI	5191	5269	+	4008.1	0.837	17.000000	17.0	0.5	34.32	1.11e-20	24.26	3.30e-18	0.93
XII-5	XII	54	132	+	4008.1	0.784	18.500000	17.0	0.7	22.88	8.57e-18	152.49	1.60e-31	0.90
V-4	V	570250	570328	+	3890.2	0.643	16.000000	16.5	0.5	33.31	3.82e-19	34.06	1.68e-19	0.94
IV-1	IV	1525397	1525475	+	3772.3	0.717	18.500000	16.5	0.2	66.62	7.47e-24	28.70	2.38e-18	0.91
V-1	V	140968	141046	+	3772.3	0.754	17.500000	16.0	0.2	64.61	7.47e-24	21.15	2.58e-16	0.94
XI-2	XI	484	562	+	3772.3	0.867	16.500000	16.0	0.2	64.61	7.47e-24	39.40	1.74e-20	0.94
XII-6	XII	1065120	1065198	+	3772.3	0.563	17.500000	16.0	0.2	64.61	7.47e-24	20.71	3.54e-16	0.91
V-3	V	69219	69297	+	3654.4	0.573	16.500000	15.5	0.5	31.29	1.23e-17	18.81	1.84e-14	0.89
VI-4	VI	225260	225338	+	3654.4	0.672	16.000000	15.5	0.2	62.59	4.83e-22	9.61	1.41e-10	0.92
I-2	I	162	240	+	3536.5	0.605	18.500000	16.5	0.2	66.62	7.47e-24	30.38	1.18e-17	0.92
XII-7	XII	370821	370899	+	3536.5	0.607	16.000000	15.0	0.2	60.57	4.83e-22	12.69	2.56e-11	0.89
XII-10	XII	924693	924771	+	3536.5	0.653	14.500000	15.0	0.2	60.57	4.83e-22	29.30	2.30e-16	0.96
XII-8	XII	11169	11247	+	3418.6	0.733	15.500000	14.5	0.2	58.55	2.92e-20	32.81	7.99e-17	0.89
I-3	I	229648	229726	+	3300.8	0.833	15.000000	14.5	0.2	58.55	2.92e-20	39.07	4.61e-18	0.92
XII-9	XII	1064947	1065025	+	3300.8	0.567	15.000000	14.5	0.2	58.55	2.92e-20	17.76	1.87e-13	0.92
III-2	III	316321	316399	+	3182.9	0.750	14.000000	13.5	0.7	18.17	1.61e-12	36.07	3.12e-16	0.93
IX-3	IX	254322	254400	+	3182.9	0.607	13.500000	13.5	0.2	54.51	1.65e-18	15.21	1.41e-11	0.89
VIII-3	VIII	48376	48454	+	3182.9	0.623	14.000000	13.5	0.2	54.51	1.65e-18	37.26	2.07e-16	0.89
XI-4	XI	99866	99944	+	3182.9	0.608	13.500000	13.5	0.2	54.51	1.65e-18	22.16	1.39e-13	0.89
