PeakID (cmd=annotatePeaks.pl SPT5_T15_R2_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SPT5_T15_R2_peak_489	XII	459608	460769	+	2954	NA	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	512	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
SPT5_T15_R2_peak_294	VII	271176	272184	+	194	NA	promoter-TSS (YGL125W)	protein_coding-promoter-TSS (YGL125W)	683	YGL126W	YGL126W	YGL126W			SCS3			protein_coding
SPT5_T15_R2_peak_561	XIII	510527	511173	+	184	NA	promoter-TSS (YMR121C)	protein_coding-promoter-TSS (YMR121C)	225	YMR122C	YMR122C	YMR122C			YMR122C			protein_coding
SPT5_T15_R2_peak_739	XVI	431583	432823	+	183	NA	promoter-TSS (YPL061W)	protein_coding-promoter-TSS (YPL061W)	308	YPL062W	YPL062W	YPL062W			YPL062W			protein_coding
SPT5_T15_R2_peak_108	IV	410397	412643	+	180	NA	promoter-TSS (YDL022W)	protein_coding-promoter-TSS (YDL022W)	-305	YDL022W	YDL022W	YDL022W			GPD1			protein_coding
SPT5_T15_R2_peak_609	XIV	349799	350768	+	178	NA	promoter-TSS (YNL147W)	protein_coding-promoter-TSS (YNL147W)	388	YNL148C	YNL148C	YNL148C			ALF1			protein_coding
SPT5_T15_R2_peak_527	XII	1071498	1071864	+	178	NA	promoter-TSS (YLR466C-A)	protein_coding-promoter-TSS (YLR466C-A)	29	YLR466C-B	YLR466C-B	YLR466C-B			YLR466C-B			protein_coding
SPT5_T15_R2_peak_703	XV	978381	979638	+	170	NA	promoter-TSS (YOR344C)	protein_coding-promoter-TSS (YOR344C)	-940	YOR344C	YOR344C	YOR344C			TYE7			protein_coding
SPT5_T15_R2_peak_704	XV	987435	988675	+	170	NA	exon (YOR348C, exon 1 of 1)	protein_coding-exon (YOR348C, exon 1 of 1)	727	YOR348C	YOR348C	YOR348C			PUT4			protein_coding
SPT5_T15_R2_peak_766	XVI	828647	829573	+	170	NA	promoter-TSS (YPR148C)	protein_coding-promoter-TSS (YPR148C)	-808	YPR149W	YPR149W	YPR149W			NCE102			protein_coding
SPT5_T15_R2_peak_581	XIII	773800	774609	+	167	NA	promoter-TSS (YMR251W-A)	protein_coding-promoter-TSS (YMR251W-A)	-548	YMR251W-A	YMR251W-A	YMR251W-A			HOR7			protein_coding
SPT5_T15_R2_peak_303	VII	397925	398338	+	159	NA	promoter-TSS (YGL055W)	protein_coding-promoter-TSS (YGL055W)	-497	YGL055W	YGL055W	YGL055W			OLE1			protein_coding
SPT5_T15_R2_peak_526	XII	1064274	1065430	+	157	NA	Intergenic	Intergenic	-1104	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
SPT5_T15_R2_peak_190	IX	138342	139680	+	157	NA	promoter-TSS (YIL118W)	protein_coding-promoter-TSS (YIL118W)	-741	YIL118W	YIL118W	YIL118W			RHO3			protein_coding
SPT5_T15_R2_peak_19	II	140497	140833	+	155	NA	promoter-TSS (YBL041W)	protein_coding-promoter-TSS (YBL041W)	-405	YBL042C	YBL042C	YBL042C			FUI1			protein_coding
SPT5_T15_R2_peak_262	V	569903	570600	+	154	NA	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-344	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
SPT5_T15_R2_peak_219	V	123127	123567	+	153	NA	promoter-TSS (YEL017C-A)	protein_coding-promoter-TSS (YEL017C-A)	-310	YEL017W	YEL017W	YEL017W			GTT3			protein_coding
SPT5_T15_R2_peak_645	XV	108975	110070	+	151	NA	promoter-TSS (YOL109W)	protein_coding-promoter-TSS (YOL109W)	346	YOL110W	YOL110W	YOL110W			SHR5			protein_coding
SPT5_T15_R2_peak_746	XVI	502327	503160	+	150	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	287	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
SPT5_T15_R2_peak_724	XVI	214225	215340	+	148	NA	promoter-TSS (YPL177C)	protein_coding-promoter-TSS (YPL177C)	-820	YPL177C	YPL177C	YPL177C			CUP9			protein_coding
SPT5_T15_R2_peak_351	VII	1000193	1000762	+	147	NA	promoter-TSS (YGR254W)	protein_coding-promoter-TSS (YGR254W)	-450	YGR254W	YGR254W	YGR254W			ENO1			protein_coding
SPT5_T15_R2_peak_719	XVI	114413	115063	+	145	NA	promoter-TSS (YPL230W)	protein_coding-promoter-TSS (YPL230W)	-574	YPL230W	YPL230W	YPL230W			USV1			protein_coding
SPT5_T15_R2_peak_343	VII	904732	905781	+	145	NA	promoter-TSS (YGR202C)	protein_coding-promoter-TSS (YGR202C)	19	YGR203W	YGR203W	YGR203W			YCH1			protein_coding
