chr	start	end	interval_id	num_peaks	num_samples	SPT5_T0_R1.bool	SPT5_T0_R2.bool	SPT5_T15_R1.bool	SPT5_T15_R2.bool	SPT5_T0_R1.fc	SPT5_T0_R2.fc	SPT5_T15_R1.fc	SPT5_T15_R2.fc	SPT5_T0_R1.qval	SPT5_T0_R2.qval	SPT5_T15_R1.qval	SPT5_T15_R2.qval	SPT5_T0_R1.pval	SPT5_T0_R2.pval	SPT5_T15_R1.pval	SPT5_T15_R2.pval	SPT5_T0_R1.start	SPT5_T0_R2.start	SPT5_T15_R1.start	SPT5_T15_R2.start	SPT5_T0_R1.end	SPT5_T0_R2.end	SPT5_T15_R1.end	SPT5_T15_R2.end	SPT5_T0_R1.summit	SPT5_T0_R2.summit	SPT5_T15_R1.summit	SPT5_T15_R2.summit
I	33	709	Interval_1	4	4	TRUE	TRUE	TRUE	TRUE	8.09237	16.4615	4.08453	5.81992	15.9403	30.2196	4.17901	5.96222	19.5677	34.0988	6.26253	8.51083	83	33	391	100	623	568	709	708	158	168	171	25
I	9532	9765	Interval_2	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.89127	NA	NA	NA	1.4437	NA	NA	NA	3.06454	NA	NA	NA	9532	NA	NA	NA	9765	NA	NA	NA	181
I	20761	21069	Interval_3	3	3	TRUE	FALSE	TRUE	TRUE	5.88865	NA	5.08545	4.76175	5.93978	NA	4.88996	4.13459	8.39498	NA	7.0883	6.36142	20778	NA	20761	20761	21067	NA	21069	21067	133	NA	115	170
I	29801	29980	Interval_4	1	1	TRUE	FALSE	FALSE	FALSE	4.68136	NA	NA	NA	4.07219	NA	NA	NA	6.23399	NA	NA	NA	29801	NA	NA	NA	29980	NA	NA	NA	69	NA	NA	NA
I	32506	32827	Interval_5	1	1	FALSE	FALSE	TRUE	FALSE	NA	NA	2.53769	NA	NA	NA	1.31352	NA	NA	NA	2.88861	NA	NA	NA	32506	NA	NA	NA	32827	NA	NA	NA	213	NA
I	32944	33285	Interval_6	1	1	TRUE	FALSE	FALSE	FALSE	3.51489	NA	NA	NA	2.71403	NA	NA	NA	4.62264	NA	NA	NA	32944	NA	NA	NA	33285	NA	NA	NA	44	NA	NA	NA
I	34294	34814	Interval_7	1	1	TRUE	FALSE	FALSE	FALSE	6.67133	NA	NA	NA	7.52721	NA	NA	NA	10.1709	NA	NA	NA	34294	NA	NA	NA	34814	NA	NA	NA	217	NA	NA	NA
I	45336	45821	Interval_8	4	4	TRUE	TRUE	TRUE	TRUE	4.03583	8.12798	4.85938	7.3017	3.2198	10.3724	5.04424	8.79547	5.22847	13.2095	7.26105	11.8359	45397	45351	45336	45370	45676	45821	45722	45703	173	81	94	76
I	67995	68967	Interval_9	4	4	TRUE	TRUE	TRUE	TRUE	8.07166	9.99445	8.58553	9.52351	11.5495	14.2628	13.0338	13.3252	14.6931	17.4617	16.4614	17.0826	68034	67995	68086	68034	68820	68831	68913	68967	337	260	457	322
I	69739	70118	Interval_10	1	1	TRUE	FALSE	FALSE	FALSE	5.39273	NA	NA	NA	5.25381	NA	NA	NA	7.57958	NA	NA	NA	69739	NA	NA	NA	70118	NA	NA	NA	38	NA	NA	NA
I	70953	71593	Interval_11	4	4	TRUE	TRUE	TRUE	TRUE	8.4442	9.16595	5.82558	5.30066	11.341	12.6152	6.69157	5.25742	14.4583	15.665	9.11358	7.68121	70958	70956	70953	70963	71408	71593	71328	71513	208	212	251	368
I	72423	73210	Interval_12	1	1	FALSE	TRUE	FALSE	FALSE	NA	5.29118	NA	NA	NA	4.90913	NA	NA	NA	7.22169	NA	NA	NA	72423	NA	NA	NA	73210	NA	NA	NA	591	NA	NA
I	76010	76268	Interval_13	1	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	2.89127	NA	NA	NA	1.4437	NA	NA	NA	3.06454	NA	NA	NA	76010	NA	NA	NA	76268	NA	NA	NA	68
I	138567	139304	Interval_14	3	3	TRUE	TRUE	FALSE	TRUE	4.48537	2.80991	NA	3.69819	3.69048	1.36933	NA	2.77222	5.754	3.04804	NA	4.70831	138938	138567	NA	139067	139304	139218	NA	139303	273	24	NA	72
I	141547	142429	Interval_15	3	3	TRUE	TRUE	TRUE	FALSE	8.84539	7.6269	3.23959	NA	11.9316	11.4601	2.08854	NA	15.1249	14.4021	3.83058	NA	141645	141784	141547	NA	142429	142076	141984	NA	205	66	36	NA
I	143455	143827	Interval_16	2	2	TRUE	TRUE	FALSE	FALSE	2.89796	3.51032	NA	NA	1.49179	2.18348	NA	NA	3.1783	4.09538	NA	NA	143455	143455	NA	NA	143677	143827	NA	NA	163	290	NA	NA
