"","CHR","START","END","SPT5_T0_R2","SPT5_T0_R1","SPT5_T15_R2","SPT5_T15_R1"
"1","I",-20,635,88.7779692220544,83.3290114247576,22.7637948592611,22.2955030165224
"2","I",32875,33275,17.7555938444109,18.9863570334891,19.2616725732209,12.4854816892526
"3","I",45237,45637,26.6333907666163,16.8767618075458,22.7637948592611,17.8364024132179
"4","I",68146,68723,43.120727907855,55.9042734874956,42.900998003992,38.3482651884185
"5","I",70986,71386,35.5111876888217,29.5343331632052,18.3861420017109,15.1609420512352
"6","I",190094,190494,44.3889846110272,29.5343331632052,24.5148560022811,29.4300639818096
"7","I",210867,211267,8.87779692220544,10.5479761297161,13.1329585726506,4.45910060330448
"8","I",229489,230272,69.7541186744713,51.6850830356091,15.7595502871807,12.4854816892526
"9","II",5691,6091,34.2429309856495,47.4658925837227,15.7595502871807,14.2691219305743
"10","II",36332,36732,20.2921072507553,25.3151427113188,12.2574280011406,16.944582292557
"11","II",45157,45557,30.4381608761329,36.9179164540065,15.7595502871807,20.5118627752006
"12","II",60846,61246,17.7555938444109,16.8767618075458,18.3861420017109,8.02638108594807
"13","II",89427,89827,31.7064175793051,29.5343331632052,14.0084891441607,14.2691219305743
"14","II",135690,136348,41.8524712046828,40.0823092929214,38.5233451464418,26.7546036198269
"15","II",140550,140950,24.0968773602719,25.3151427113188,28.0169782883213,22.2955030165224
"16","II",159749,160149,13.9508237348943,21.0959522594323,22.7637948592611,24.0791432578442
"17","II",165047,165447,39.3159577983384,55.9042734874956,30.6435700028514,38.3482651884185
"18","II",168012,168412,30.4381608761329,41.137106905893,32.3946311458715,26.7546036198269
"19","II",193509,193909,20.2921072507553,20.0411546464607,22.7637948592611,30.3218841024705
"20","II",202256,202656,16.4873371412387,17.9315594205175,9.63083628661045,25.862783499166
"21","II",203053,203453,25.3651340634441,17.9315594205175,17.5106114302008,16.944582292557
"22","II",336840,337240,7.60954021903323,20.0411546464607,13.1329585726506,16.0527621718961
"23","II",341580,341980,12.6825670317221,20.0411546464607,14.0084891441607,16.0527621718961
"24","II",375860,376260,13.9508237348943,22.1507498724039,28.8925088598314,36.5646249470968
"25","II",378714,379114,21.5603639539275,28.4795355502336,23.6393254307711,25.862783499166
"26","II",415307,415707,24.0968773602719,22.1507498724039,20.1372031447309,30.3218841024705
"27","II",426752,427152,15.2190804380665,29.5343331632052,28.8925088598314,26.7546036198269
"28","II",429196,429596,3.80477010951662,9.49317851674453,7.87977514359037,2.67546036198269
