PeakID (cmd=annotatePeaks.pl SPT5_T0_R2_homer_narrowPeak.txt genome.fa -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
XII-1	XII	460288	460366	+	76506.9	0.507	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	651	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
XII-2	XII	460515	460593	+	75563.8	0.658	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	878	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
XII-3	XII	459903	459981	+	46210.6	0.605	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	266	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
IX-1	IX	439642	439720	+	6483.6	0.684	Intergenic	Intergenic	-1502	YIR044C	YIR044C	YIR044C			YIR044C			pseudogene
IX-2	IX	1	67	+	6130.0	0.927	promoter-TSS (YIL177W-A)	protein_coding-promoter-TSS (YIL177W-A)	-812	YIL177W-A	YIL177W-A	YIL177W-A			YIL177W-A			protein_coding
VIII-1	VIII	27	105	+	5186.9	0.721	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-745	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
I-1	I	230055	230133	+	4715.4	0.759	TTS (YAR075W)	protein_coding-TTS (YAR075W)	1250	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
XI-1	XI	666475	666553	+	4597.5	0.659	Intergenic	Intergenic	5072	YKR106W	YKR106W	YKR106W			GEX2			protein_coding
XII-4	XII	5656	5734	+	4597.5	0.667	promoter-TSS (YLL066W-A)	protein_coding-promoter-TSS (YLL066W-A)	90	YLL066W-B	YLL066W-B	YLL066W-B			YLL066W-B			protein_coding
XV-1	XV	130	208	+	4479.6	0.636	promoter-TSS (YOL166W-A)	protein_coding-promoter-TSS (YOL166W-A)	-416	YOL166W-A	YOL166W-A	YOL166W-A			YOL166W-A			protein_coding
VII-1	VII	16	94	+	4361.7	0.695	Intergenic	Intergenic	-2735	YGL263W	YGL263W	YGL263W			COS12			protein_coding
VIII-2	VIII	556911	556989	+	4361.7	0.742	promoter-TSS (YHR217C)	protein_coding-promoter-TSS (YHR217C)	92	YHR217C	YHR217C	YHR217C			YHR217C			protein_coding
VI-2	VI	221756	221834	+	4243.8	0.755	promoter-TSS (RUF23)	ncRNA-promoter-TSS (RUF23)	81	RUF23	RUF23	RUF23			RUF23			ncRNA
VI-1	VI	4925	5003	+	4125.9	0.700	promoter-TSS (YFL063W)	protein_coding-promoter-TSS (YFL063W)	-102	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
VII-2	VII	1084205	1084283	+	4125.9	0.594	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-620	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
XII-5	XII	54	132	+	4008.1	0.784	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-750	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
VI-3	VI	5191	5269	+	4008.1	0.837	exon (YFL063W, exon 1 of 1)	protein_coding-exon (YFL063W, exon 1 of 1)	164	YFL063W	YFL063W	YFL063W			YFL063W			protein_coding
V-2	V	396514	396592	+	4008.1	0.712	promoter-TSS (YER116C)	protein_coding-promoter-TSS (YER116C)	-216	YER117W	YER117W	YER117W			RPL23B			protein_coding
V-4	V	570250	570328	+	3890.2	0.643	promoter-TSS (YER188C-A)	protein_coding-promoter-TSS (YER188C-A)	-382	YER188C-A	YER188C-A	YER188C-A			YER188C-A			protein_coding
XI-2	XI	484	562	+	3772.3	0.867	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	72	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
XII-6	XII	1065120	1065198	+	3772.3	0.563	promoter-TSS (YLR462W)	protein_coding-promoter-TSS (YLR462W)	-797	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
IV-1	IV	1525397	1525475	+	3772.3	0.717	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	87	YDR544C	YDR544C	YDR544C			YDR544C			protein_coding
V-1	V	140968	141046	+	3772.3	0.754	promoter-TSS (YEL007W)	protein_coding-promoter-TSS (YEL007W)	-189	YEL008C-A	YEL008C-A	YEL008C-A			YEL008C-A			protein_coding
VI-4	VI	225260	225338	+	3654.4	0.672	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	-530	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
V-3	V	69219	69297	+	3654.4	0.573	promoter-TSS (YEL044W)	protein_coding-promoter-TSS (YEL044W)	7	YEL045C	YEL045C	YEL045C			YEL045C			protein_coding
XII-7	XII	370821	370899	+	3536.5	0.607	promoter-TSS (YLR110C)	protein_coding-promoter-TSS (YLR110C)	69	YLR112W	YLR112W	YLR112W			YLR112W			protein_coding
XII-10	XII	924693	924771	+	3536.5	0.653	promoter-TSS (YLR401C)	protein_coding-promoter-TSS (YLR401C)	-157	YLR402W	YLR402W	YLR402W			YLR402W			protein_coding
I-2	I	162	240	+	3536.5	0.605	promoter-TSS (YAL068W-A)	protein_coding-promoter-TSS (YAL068W-A)	-134	YAL069W	YAL069W	YAL069W			YAL069W			protein_coding
XII-8	XII	11169	11247	+	3418.6	0.733	promoter-TSS (YLL065W)	protein_coding-promoter-TSS (YLL065W)	-518	YLL065W	YLL065W	YLL065W			YLL065W			protein_coding
I-3	I	229648	229726	+	3300.8	0.833	TTS (YAR073W)	protein_coding-TTS (YAR073W)	843	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
