# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T15_R1_Tagdir
#
# total peaks = 721
# peak size = 97
# peaks found using tags on both strands
# minimum distance between peaks = 194
# fragment length = 78
# genome size = 12130177
# Total tags = 60270.0
# Total tags in peaks = 7475.0
# Approximate IP efficiency = 12.40%
# tags per bp = 0.004917
# expected tags per peak = 0.477
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.350817e-07
# FDR tag threshold = 7.0
# number of putative peaks = 762
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 41
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T15_R1_Tagdir -style factor -o SPT5_T15_R1_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
XII-1	XII	460147	460243	+	57657.2	0.596	183.000000	28.30	0.00e+00	0.52
VII-1	VII	625403	625499	+	3650.2	0.747	21.000000	37.52	9.21e-26	0.95
VII-2	VII	856781	856877	+	3235.4	0.689	19.500000	28.85	2.45e-21	0.89
VII-3	VII	905541	905637	+	3235.4	0.593	19.500000	22.48	2.05e-18	0.92
XV-1	XV	109523	109619	+	3235.4	0.512	20.000000	24.58	4.58e-20	0.89
V-1	V	442088	442184	+	3069.5	0.585	18.500000	25.71	2.06e-18	0.90
XVI-1	XVI	425477	425573	+	3069.5	0.710	21.000000	29.51	1.87e-20	0.89
VII-4	VII	384824	384920	+	2986.6	0.697	18.000000	16.05	4.26e-16	0.92
XIII-1	XIII	540537	540633	+	2986.6	0.609	18.500000	26.63	6.88e-20	0.92
XV-2	XV	770257	770353	+	2986.6	0.800	18.000000	30.45	8.01e-20	0.92
XV-3	XV	779608	779704	+	2986.6	0.571	18.000000	25.73	2.09e-16	0.90
XV-4	XV	978879	978975	+	2986.6	0.547	17.500000	19.76	1.17e-17	0.97
V-2	V	222319	222415	+	2903.6	0.804	18.000000	23.98	6.39e-18	0.90
VIII-1	VIII	236209	236305	+	2903.6	0.684	18.000000	23.98	6.39e-18	0.90
XII-2	XII	1028493	1028589	+	2903.6	0.656	21.000000	34.36	1.77e-20	0.90
II-1	II	165223	165319	+	2820.6	0.759	17.500000	17.18	8.71e-16	0.92
IV-2	IV	721806	721902	+	2820.6	0.685	17.000000	28.93	1.86e-19	0.95
X-1	X	75667	75763	+	2820.6	0.783	18.000000	29.55	2.44e-18	0.90
IX-1	IX	99576	99672	+	2737.7	0.690	16.500000	22.95	9.84e-15	0.90
V-4	V	192161	192257	+	2737.7	0.632	16.500000	17.92	5.08e-15	0.90
XII-3	XII	704522	704618	+	2737.7	0.660	16.500000	22.31	1.83e-16	0.93
IV-1	IV	321965	322061	+	2654.7	0.778	17.000000	39.84	1.46e-20	0.93
V-3	V	396497	396593	+	2654.7	0.686	17.000000	28.66	2.44e-18	0.93
VI-2	VI	225184	225280	+	2654.7	0.531	17.000000	9.50	4.14e-11	0.93
VII-6	VII	271355	271451	+	2654.7	0.500	17.000000	11.07	4.44e-12	0.93
VII-5	VII	271922	272018	+	2654.7	0.571	17.500000	10.93	5.40e-12	0.93
VII-7	VII	654179	654275	+	2654.7	0.603	16.500000	14.94	3.17e-13	0.93
X-3	X	663136	663232	+	2654.7	0.655	16.000000	22.22	1.21e-16	0.99
XI-1	XI	614945	615041	+	2654.7	0.667	16.000000	19.10	1.13e-13	0.90
XV-9	XV	520725	520821	+	2654.7	0.566	16.000000	42.99	4.47e-21	0.93
XV-5	XV	619369	619465	+	2654.7	0.627	17.000000	27.69	4.15e-18	0.96
