"","seqnames","start","end","width","strand","Conc","Conc_SPT5_T0","Conc_SPT5_T15","Fold","p.value","FDR","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","symbol"
"1","I",-24,376,401,"*",5.4004595505639,6.12719660145873,3.86557945664018,2.26161714481855,7.82039962831411e-07,0.000424647699817456,"1","YAL069W",335,649,"+","overlapStart",-159,41,"NearestLocation","YAL069W"
"2","MT",15455,15855,401,"*",3.95470088429331,4.870445510315,0.814924362233746,4.05552114808125,1.55002784443371e-05,0.00420832559763753,"181","Q0050",13818,16322,"+","inside",1837,467,"NearestLocation","AI1"
"3","IV",1525003,1525403,401,"*",5.0777922352359,5.75073162623911,3.77621352886647,1.97451809737264,5.49326221944587e-05,0.00762256018518742,"157","YDR543C",1524634,1524933,"-","upstream",-270,70,"NearestLocation","YDR543C"
"4","VIII",-105,295,401,"*",4.72708570995654,5.44992823556531,3.21073627854515,2.23919195702016,5.61514562444746e-05,0.00762256018518742,"323","YHL050W-A",811,1293,"+","upstream",-716,516,"NearestLocation","YHL050W-A"
"5","IX",439483,439883,401,"*",5.58495826809471,6.19972433024464,4.49166520285512,1.70805912738952,0.00011942412390984,0.00997342892579429,"180","YIR044C",437994,438179,"-","upstream",-1504,1304,"NearestLocation","YIR044C"
"6","MT",79570,79970,401,"*",4.73136123631278,5.42547625232635,3.34341483223219,2.08206142009416,0.000139988290701504,0.00997342892579429,"184","Q0275",79213,80022,"+","inside",557,52,"NearestLocation","COX3"
"7","I",229872,230272,401,"*",4.68028275226347,5.39329389231126,3.20946653275538,2.18382735955588,0.000140859261418413,0.00997342892579429,"13","YAR075W",228844,229317,"+","downstream",1228,555,"NearestLocation","YAR075W"
"8","IV",593305,593705,401,"*",4.25582835235273,2.34106858853691,5.05058431551361,-2.7095157269767,0.000146938179385551,0.00997342892579429,"110","YDR074W",593893,596583,"+","upstream",-388,188,"NearestLocation","TPS2"
"9","XV",10,410,401,"*",5.50848350868401,6.09866593605924,4.49270944318818,1.60595649287106,0.000185562503151341,0.0103115481166136,"588","YOL166W-A",585,740,"+","upstream",-375,175,"NearestLocation","YOL166W-A"
"10","XIII",924009,924409,401,"*",5.38828114821358,5.987709129548,4.34399355204464,1.64371557750336,0.000189899596991042,0.0103115481166136,"543","YMR326C",923494,923802,"-","upstream",-407,207,"NearestLocation","YMR326C"
"11","XI",-17,383,401,"*",5.24559990050009,5.85174705160169,4.18011298366503,1.67163406793666,0.000273170677825984,0.0134846980054099,"384","YKL225W",451,798,"+","upstream",-268,68,"NearestLocation","YKL225W"
"12","XI",369310,369710,401,"*",4.09366899819642,2.18249497392645,4.88787598242316,-2.7053810084967,0.000317386837204503,0.0143617543835037,"412","YKL037W",369365,369721,"+","overlapStart",145,11,"NearestLocation","AIM26"
"13","MT",36613,37013,401,"*",3.67624650141666,4.51832132764039,1.40655084035942,3.11177048728097,0.000469636158308,0.019598692118812,"182","Q0105",36540,43647,"+","inside",273,73,"NearestLocation","COB"
"14","MT",36613,37013,401,"*",3.67624650141666,4.51832132764039,1.40655084035942,3.11177048728097,0.000469636158308,0.019598692118812,"182","Q0110",36540,38579,"+","inside",273,73,"NearestLocation","BI2"
"15","MT",36613,37013,401,"*",3.67624650141666,4.51832132764039,1.40655084035942,3.11177048728097,0.000469636158308,0.019598692118812,"182","Q0115",36540,40265,"+","inside",273,73,"NearestLocation","BI3"
"16","MT",36613,37013,401,"*",3.67624650141666,4.51832132764039,1.40655084035942,3.11177048728097,0.000469636158308,0.019598692118812,"182","Q0120",36540,42251,"+","inside",273,73,"NearestLocation","BI4"
"17","XIII",477749,478149,401,"*",3.8586067771179,1.75610608781576,4.68002778675923,-2.92392169894347,0.000562691193408567,0.019598692118812,"521","YMR105W-A",478064,478258,"+","overlapStart",-115,85,"NearestLocation","YMR105W-A"
"18","IV",62156,62556,401,"*",4.40477504744926,2.88554160756316,5.12822768108552,-2.24268607352237,0.000563916133820666,0.019598692118812,"79","YDL221W",62011,62562,"+","inside",345,6,"NearestLocation","YDL221W"
"19","XI",666309,666709,401,"*",5.46260619769792,6.05614420426712,4.43656953008012,1.619574674187,0.000577493690425401,0.019598692118812,"427","YKR106W",661442,663289,"+","downstream",5067,3020,"NearestLocation","GEX2"
"20","VI",4745,5145,401,"*",5.6720832437698,6.22028053797077,4.77707090425218,1.44320963371858,0.000648012366364223,0.0206982773491631,"235","YFL063W",5066,5521,"+","overlapStart",-121,79,"NearestLocation","YFL063W"
"21","XII",-59,341,401,"*",4.85072437087988,5.47397268410301,3.7293651443675,1.74460753973551,0.000694789994507287,0.0209594981676365,"428","YLL067W-A",843,1325,"+","upstream",-702,502,"NearestLocation","YLL067W-A"
"22","VII",1084062,1084462,401,"*",5.30761824465428,5.85722533145589,4.40876534329399,1.4484599881619,0.0013678571870822,0.0380680948601239,"322","YGR296W",1084864,1090591,"+","upstream",-602,402,"NearestLocation","YRF1-3"
"23","XII",5539,5939,401,"*",4.81066036792572,5.43639315323332,3.68094425392402,1.7554488993093,0.00140213977385355,0.0380680948601239,"429","YLL066W-B",5605,5775,"+","includeFeature",134,66,"NearestLocation","YLL066W-B"
"24","X",745323,745723,401,"*",4.70852364872078,5.31877209113492,3.62989275064228,1.68887934049265,0.00148812198820882,0.038478582837971,"383","YJR162C",744911,745261,"-","upstream",-262,62,"NearestLocation","YJR162C"
"25","XII",11123,11523,401,"*",5.00583980292834,5.59603229014887,3.99003511508351,1.60599717506536,0.00165265240292739,0.0401130744447743,"430","YLL065W",11726,12076,"+","upstream",-403,203,"NearestLocation","YLL065W"
"26","XII",1064857,1065257,401,"*",5.79786140420257,6.29589612298839,5.03104170526721,1.26485441772118,0.00169908050134403,0.0401130744447743,"486","YLR462W",1065956,1066564,"+","upstream",-899,699,"NearestLocation","YLR462W"
"27","VII",-53,347,401,"*",5.06393535844802,5.63319078224872,4.11005588903654,1.52313489321218,0.00209020021043021,0.0437568476589074,"252","YGL263W",2790,3932,"+","upstream",-2643,2443,"NearestLocation","COS12"
"28","VIII",280255,280655,401,"*",4.48683466601541,3.31126268736136,5.12587395720471,-1.81461126984335,0.00210768100630589,0.0437568476589074,"339","YHR086W-A",280231,280392,"+","overlapEnd",224,24,"NearestLocation","YHR086W-A"
"29","II",419512,419912,401,"*",3.88203665224516,2.24878928220952,4.62846828278512,-2.37967900057561,0.00211478287232101,0.0437568476589074,"42","YBR085C-A",418907,419164,"-","upstream",-548,348,"NearestLocation","YBR085C-A"
"30","XIV",6541,6941,401,"*",5.32518822687545,5.8490782921272,4.49427438786539,1.35480390426181,0.00217575485596777,0.0437568476589074,"544","YNL338W",6561,6719,"+","includeFeature",180,20,"NearestLocation","YNL338W"
"31","III",271,671,401,"*",5.20069674655364,5.75677316859355,4.28403889296938,1.47273427562417,0.00242139561627041,0.0466152958265532,"61","YCL076W",1392,2135,"+","upstream",-921,721,"NearestLocation","YCL076W"
"32","VIII",556591,556991,401,"*",5.32924814798091,5.85472249186785,4.49427438786539,1.36044810400246,0.00248958301836104,0.0466152958265532,"349","YHR217C",556581,557042,"-","inside",251,10,"NearestLocation","YHR217C"
"33","IV",1507164,1507564,401,"*",4.84843555360562,3.83311937058887,5.43846752671187,-1.605348156123,0.00259080431908434,0.0468935581754265,"156","YDR535C",1506606,1507362,"-","overlapStart",-2,198,"NearestLocation","YDR535C"
"34","XIV",783666,784066,401,"*",4.78155934288563,5.3526406270605,3.82241917663456,1.53022145042594,0.00293872702850046,0.0514751218217984,"587","YNR077C",783287,783541,"-","upstream",-325,125,"NearestLocation","YNR077C"
"35","II",5730,6130,401,"*",4.83365608559382,5.39286481971889,3.90826877933253,1.48459604038636,0.00364541281152402,0.0618580986455483,"14","YBL109W",5790,6125,"+","includeFeature",140,5,"NearestLocation","YBL109W"
"36","V",140624,141024,401,"*",5.50865729939362,5.99269555839226,4.77492650966649,1.21776904872577,0.00438484652829394,0.0721506565110185,"195","YEL008C-A",140726,140818,"-","includeFeature",-6,102,"NearestLocation","YEL008C-A"
"37","IV",636054,636454,401,"*",4.45262082886353,3.34195796104752,5.0726617623241,-1.73070380127658,0.00493478306819346,0.0781310013180222,"112","YDR095C",636117,636527,"-","overlapEnd",273,63,"NearestLocation","YDR095C"
"38","III",316121,316521,401,"*",4.77958466287819,5.33412168386362,3.86719079105831,1.46693089280531,0.00503606822491856,0.0781310013180222,"76","YCR108C",315997,316188,"-","overlapStart",-133,67,"NearestLocation","YCR108C"
