PeakID (cmd=annotatePeaks.pl SPT5_T0_R1_homer_narrowPeak.txt genome.fa -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
XII-1	XII	460156	460246	+	59939.6	0.616	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	525	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
XII-2	XII	460508	460598	+	42477.6	0.668	TTS (RDN25-2)	rRNA-TTS (RDN25-2)	877	RDN5-1	RDN5-1	RDN5-1			RDN5-1			rRNA
XII-3	XII	106	196	+	5984.1	0.772	promoter-TSS (YLL067W-A)	protein_coding-promoter-TSS (YLL067W-A)	-692	YLL067W-A	YLL067W-A	YLL067W-A			YLL067W-A			protein_coding
VIII-1	VIII	64	154	+	5493.6	0.865	promoter-TSS (YHL050W-A)	protein_coding-promoter-TSS (YHL050W-A)	-702	YHL050W-A	YHL050W-A	YHL050W-A			YHL050W-A			protein_coding
IV-1	IV	1525215	1525305	+	5395.5	0.741	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	263	YDR544C	YDR544C	YDR544C			YDR544C			protein_coding
XIII-1	XIII	924198	924288	+	5199.3	0.651	promoter-TSS (YMR326C)	protein_coding-promoter-TSS (YMR326C)	-441	YMR326C	YMR326C	YMR326C			YMR326C			protein_coding
XI-1	XI	85	175	+	5003.1	0.762	promoter-TSS (YKL225W)	protein_coding-promoter-TSS (YKL225W)	-321	YKL225W	YKL225W	YKL225W			YKL225W			protein_coding
VI-1	VI	225255	225345	+	4708.8	0.652	promoter-TSS (YFR033C)	protein_coding-promoter-TSS (YFR033C)	-531	YFR033C	YFR033C	YFR033C			QCR6			protein_coding
V-1	V	6265	6355	+	4708.8	0.833	promoter-TSS (YEL075C)	protein_coding-promoter-TSS (YEL075C)	184	YEL074W	YEL074W	YEL074W			YEL074W			protein_coding
XII-4	XII	1064964	1065054	+	4610.7	0.658	promoter-TSS (YLR462W)	protein_coding-promoter-TSS (YLR462W)	-947	YLR462W	YLR462W	YLR462W			YLR462W			protein_coding
