"","seqnames","start","end","width","strand","Conc","Conc_SPT5_T0","Conc_SPT5_T15","Fold","p.value","FDR","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","symbol"
"1","VI",4385,5393,1009,"*",6.18672167831137,6.76229131701694,5.21453882447538,1.54775249254156,3.57803549425916e-07,7.93044662031774e-05,"186","YFL063W",5066,5521,"+","overlapStart",-177,128,"NearestLocation","YFL063W"
"2","I",-20,635,656,"*",5.76265628930196,6.42716180394713,4.49375292823396,1.93340887571317,4.05649443494514e-07,7.93044662031774e-05,"1","YAL069W",335,649,"+","overlapStart",-27,14,"NearestLocation","YAL069W"
"3","XIII",923668,924409,742,"*",5.84604619764878,6.47580514364369,4.70265288944574,1.77315225419795,1.08029385670782e-06,0.000140798299324253,"413","YMR326C",923494,923802,"-","overlapStart",-236,134,"NearestLocation","YMR326C"
"4","IX",439173,439898,726,"*",5.96891605135336,6.53306855056009,5.02960345124537,1.50346509931472,1.06780511691507e-05,0.00104377950178448,"146","YIR044C",437994,438179,"-","upstream",-1357,994,"NearestLocation","YIR044C"
"5","I",229489,230272,784,"*",5.22577845939978,5.92409040200525,3.81992522884852,2.10416517315673,2.152075533402e-05,0.00148863131284441,"8","YAR075W",228844,229317,"+","downstream",1036,172,"NearestLocation","YAR075W"
"6","XV",7,698,692,"*",5.82067956537485,6.39856524596656,4.84170409699819,1.55686114896837,2.28434472559245e-05,0.00148863131284441,"437","YOL166W-A",585,740,"+","overlapStart",-233,42,"NearestLocation","YOL166W-A"
"7","XI",666026,666709,684,"*",5.72922229626302,6.33804514298095,4.65517803781605,1.6828671051649,4.13490706922329e-05,0.00209524589701052,"328","YKR106W",661442,663289,"+","downstream",4926,2737,"NearestLocation","GEX2"
"8","XI",-22,682,705,"*",5.61896258690021,6.21797162795989,4.57598326807599,1.64198835988389,4.28694812687574e-05,0.00209524589701052,"301","YKL225W",451,798,"+","overlapStart",-121,116,"NearestLocation","YKL225W"
"9","XIV",6543,7305,763,"*",5.6196116901734,6.20145020578847,4.62894326169587,1.5725069440926,8.12616688154927e-05,0.00353036805631752,"414","YNL338W",6561,6719,"+","includeFeature",363,18,"NearestLocation","YNL338W"
"10","VIII",-107,293,401,"*",4.72708570995654,5.44992823556531,3.21073627854515,2.23919195702016,0.000105418306983874,0.00412185580306949,"248","YHL050W-A",811,1293,"+","upstream",-718,518,"NearestLocation","YHL050W-A"
"11","IV",593338,593738,401,"*",4.2888144491714,2.34106858853691,5.08854756117315,-2.74747897263624,0.000148600169285169,0.00528206056277283,"84","YDR074W",593893,596583,"+","upstream",-355,155,"NearestLocation","TPS2"
"12","MT",79108,79508,401,"*",4.02599580205559,4.83882622839115,1.98707411141893,2.85175211697223,0.000166721170509286,0.00543233147242757,"148","Q0275",79213,80022,"+","overlapStart",95,105,"NearestLocation","COX3"
"13","XI",369310,369710,401,"*",4.09366899819642,2.18249497392645,4.88787598242316,-2.7053810084967,0.000367443027446781,0.0108634444262131,"319","YKL037W",369365,369721,"+","overlapStart",145,11,"NearestLocation","AIM26"
"14","VII",1083770,1084466,697,"*",5.68298356707907,6.20979546762768,4.84456974003415,1.36522572759353,0.000388972434698168,0.0108634444262131,"247","YGR296W",1084864,1090591,"+","upstream",-746,398,"NearestLocation","YRF1-3"
"15","XII",1064793,1065538,746,"*",5.80898413241133,6.29578137551707,5.06881582956859,1.22696554594847,0.000741532112062442,0.019329270387761,"373","YLR462W",1065956,1066564,"+","upstream",-790,418,"NearestLocation","YLR462W"
"16","XII",11197,11597,401,"*",5.13360544928099,5.73975356286051,4.0681154662255,1.67163809663501,0.000888029145790035,0.021701212250244,"331","YLL065W",11726,12076,"+","upstream",-329,129,"NearestLocation","YLL065W"
"17","XII",-69,331,401,"*",4.85072437087988,5.47397268410301,3.7293651443675,1.74460753973551,0.00111745647981502,0.0257014990357455,"329","YLL067W-A",843,1325,"+","upstream",-712,512,"NearestLocation","YLL067W-A"
"18","VII",-95,647,743,"*",5.38549856930838,5.93153037883517,4.49635834362559,1.43517203520958,0.00145907015571633,0.0316942461602824,"196","YGL263W",2790,3932,"+","upstream",-2514,2143,"NearestLocation","COS12"
"19","VIII",280103,280724,622,"*",4.65579539092717,3.47091070362991,5.29747116984025,-1.82656046621034,0.00165360934700134,0.0340295397198696,"260","YHR086W-A",280231,280392,"+","includeFeature",183,128,"NearestLocation","YHR086W-A"
"20","XII",5539,5939,401,"*",4.81066036792572,5.43639315323332,3.68094425392402,1.7554488993093,0.00211638792632162,0.0397212506050436,"330","YLL066W-B",5605,5775,"+","includeFeature",134,66,"NearestLocation","YLL066W-B"
"21","XII",370224,371101,878,"*",6.0760968327661,6.48291022359473,5.50744322623454,0.975466997360194,0.00213336640078239,0.0397212506050436,"340","YLR112W",370791,371210,"+","overlapStart",-129,109,"NearestLocation","YLR112W"
"22","X",745320,745720,401,"*",4.70852364872078,5.31877209113492,3.62989275064228,1.68887934049265,0.00227252440378571,0.0403889564491006,"300","YJR162C",744911,745261,"-","upstream",-259,59,"NearestLocation","YJR162C"
"23","III",260,945,686,"*",5.54405432960417,6.06049482080029,4.73202051015582,1.32847431064448,0.00247723694867692,0.0421130281275077,"47","YCL076W",1392,2135,"+","upstream",-790,447,"NearestLocation","YCL076W"
"24","XIV",783419,784080,662,"*",5.06477162483129,5.59565947635912,4.21580411582835,1.37985536053076,0.00513097795105839,0.0835921824526595,"436","YNR077C",783287,783541,"-","overlapStart",-209,122,"NearestLocation","YNR077C"
"25","VI",176620,177020,401,"*",3.97007018869156,2.61390300636579,4.6565763886576,-2.04267338229181,0.00587279886217139,0.0918505742043605,"191","YFR015C",174265,176391,"-","upstream",-429,229,"NearestLocation","GSY1"
