PeakID (cmd=annotatePeaks.pl SPT5.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_680	X	354160	354433	+	0	NA	promoter-TSS (tY(GUA)J1)	tRNA-promoter-TSS (tY(GUA)J1)	52	tY(GUA)J1	tY(GUA)J1	tY(GUA)J1			SUP7			tRNA
Interval_926	XIII	225454	225799	+	0	NA	promoter-TSS (YML024W)	protein_coding-promoter-TSS (YML024W)	-261	YML025C	YML025C	YML025C			YML6			protein_coding
Interval_853	XII	664971	665642	+	0	NA	promoter-TSS (YLR259C)	protein_coding-promoter-TSS (YLR259C)	-304	YLR259C	YLR259C	YLR259C			HSP60			protein_coding
Interval_1229	XVI	493156	493383	+	0	NA	promoter-TSS (YPL030W)	protein_coding-promoter-TSS (YPL030W)	-232	YPL031C	YPL031C	YPL031C			PHO85			protein_coding
Interval_228	IV	835801	836285	+	0	NA	promoter-TSS (YDR186C)	protein_coding-promoter-TSS (YDR186C)	-378	YDR188W	YDR188W	YDR188W			CCT6			protein_coding
Interval_113	II	798741	798989	+	0	NA	promoter-TSS (YBR296C)	protein_coding-promoter-TSS (YBR296C)	-343	YBR296C	YBR296C	YBR296C			PHO89			protein_coding
Interval_336	IX	310906	311108	+	0	NA	promoter-TSS (YIL022W)	protein_coding-promoter-TSS (YIL022W)	-158	YIL022W	YIL022W	YIL022W			TIM44			protein_coding
Interval_255	IV	1156260	1156563	+	0	NA	promoter-TSS (YDR342C)	protein_coding-promoter-TSS (YDR342C)	-483	YDR342C	YDR342C	YDR342C			HXT7			protein_coding
Interval_1231	XVI	502327	503160	+	0	NA	promoter-TSS (YPL024W)	protein_coding-promoter-TSS (YPL024W)	287	YPL025C	YPL025C	YPL025C			YPL025C			protein_coding
Interval_449	VI	101168	101506	+	0	NA	promoter-TSS (YFL019C)	protein_coding-promoter-TSS (YFL019C)	-39	tP(UGG)F	tP(UGG)F	tP(UGG)F			SUF9			tRNA
Interval_787	XI	614121	615474	+	0	NA	promoter-TSS (YKR092C)	protein_coding-promoter-TSS (YKR092C)	-912	YKR092C	YKR092C	YKR092C			SRP40			protein_coding
Interval_963	XIII	600856	601498	+	0	NA	promoter-TSS (YMR169C)	protein_coding-promoter-TSS (YMR169C)	-305	YMR169C	YMR169C	YMR169C			ALD3			protein_coding
Interval_565	VII	953665	953860	+	0	NA	promoter-TSS (YGR231C)	protein_coding-promoter-TSS (YGR231C)	-198	YGR232W	YGR232W	YGR232W			NAS6			protein_coding
Interval_1149	XV	866634	867172	+	0	NA	promoter-TSS (YOR292C)	protein_coding-promoter-TSS (YOR292C)	-195	YOR293W	YOR293W	YOR293W			RPS10A			protein_coding
Interval_1006	XIV	112674	113074	+	0	NA	promoter-TSS (YNL278W)	protein_coding-promoter-TSS (YNL278W)	-397	YNL278W	YNL278W	YNL278W			CAF120			protein_coding
Interval_199	IV	512268	512446	+	0	NA	promoter-TSS (YDR034C)	protein_coding-promoter-TSS (YDR034C)	-248	YDR034C	YDR034C	YDR034C			LYS14			protein_coding
Interval_714	X	683542	683858	+	0	NA	promoter-TSS (YJR137C)	protein_coding-promoter-TSS (YJR137C)	-415	YJR137C	YJR137C	YJR137C			MET5			protein_coding
Interval_1130	XV	618645	619604	+	0	NA	promoter-TSS (YOR152C)	protein_coding-promoter-TSS (YOR152C)	-716	YOR153W	YOR153W	YOR153W			PDR5			protein_coding
Interval_747	XI	216826	217102	+	0	NA	promoter-TSS (YKL120W)	protein_coding-promoter-TSS (YKL120W)	-380	YKL120W	YKL120W	YKL120W			OAC1			protein_coding
Interval_36	II	135746	136292	+	0	NA	promoter-TSS (YBL043W)	protein_coding-promoter-TSS (YBL043W)	21	YBL044W	YBL044W	YBL044W			YBL044W			protein_coding
Interval_489	VII	345807	345976	+	0	NA	promoter-TSS (YGL088W)	protein_coding-promoter-TSS (YGL088W)	55	YGL088W	YGL088W	YGL088W			YGL088W			protein_coding
Interval_594	VIII	146193	146390	+	0	NA	promoter-TSS (tA(AGC)H)	tRNA-promoter-TSS (tA(AGC)H)	23	tA(AGC)H	tA(AGC)H	tA(AGC)H			tA(AGC)H			tRNA
